Gene_Name	Term_ID	DB
AASS	12931	GO
AASS	17455	GO
AASS	28210	GO
AASS	5525	GO
AASS	5112	GO
AATF	20864	GO
AATF	6720	GO
AATF	36	GO
AATF	6244	GO
AATF	9094	GO
AATF	16872	GO
AATF	3593	GO
AATF	24444	GO
AATF	11022	GO
AATF	21785	GO
AATF	5916	GO
AATK	5436	GO
AATK	10837	GO
ABAT	17543	GO
ABAT	16010	GO
ABAT	9482	GO
ABAT	24461	GO
ABAT	21007	GO
ABAT	8470	GO
ABAT	1182	GO
ABAT	13478	GO
ABAT	15656	GO
ABAT	40756	GO
ABAT	35639	GO
ABAT	6458	GO
ABAT	19002	GO
ABAT	23999	GO
ABAT	6855	GO
ABAT	42452	GO
ABAT	36183	GO
ABAT	19547	GO
ABAT	21084	GO
ABAT	7776	GO
ABAT	7906	GO
ABAT	7907	GO
ABAT	7908	GO
ABAT	24296	GO
ABAT	32363	GO
ABAT	6514	GO
ABAT	6520	GO
ABCA1	17287	GO
ABCA1	5768	GO
ABCA1	18319	GO
ABCA1	22421	GO
ABCA1	33175	GO
ABCA1	14875	GO
ABCA1	21023	GO
ABCA1	21024	GO
ABCA1	30241	GO
ABCA1	23868	GO
ABCA1	16457	GO
ABCA1	33099	GO
ABCA1	6476	GO
ABCA1	21453	GO
ABCA1	6734	GO
ABCA1	9165	GO
ABCA1	14416	GO
ABCA1	9296	GO
ABCA1	16338	GO
ABCA1	5971	GO
ABCA1	6100	GO
ABCA1	6733	GO
ABCA1	5465	GO
ABCA1	9308	GO
ABCA1	5597	GO
ABCA1	20446	GO
ABCA1	7776	GO
ABCA1	36960	GO
ABCA1	30050	GO
ABCA1	5865	GO
ABCA1	30057	GO
ABCA1	17645	GO
ABCA1	2286	GO
ABCA1	27888	GO
ABCA1	18548	GO
ABCA1	33272	GO
ABCA1	10746	GO
ABCA1	10495	GO
ABCA2	7776	GO
ABCA2	16354	GO
ABCA2	5348	GO
ABCA2	17287	GO
ABCA2	5768	GO
ABCA2	21453	GO
ABCA2	17645	GO
ABCA2	26832	GO
ABCA2	30044	GO
ABCA2	5597	GO
ABCA4	6496	GO
ABCA4	5829	GO
ABCA4	5768	GO
ABCA4	5616	GO
ABCA4	28050	GO
ABCA4	23868	GO
ABCA4	24024	GO
ABCA4	1049	GO
ABCA4	30044	GO
ABCA4	6494	GO
ABCA6	5768	GO
ABCA6	30044	GO
ABCA6	5829	GO
ABCA9	5768	GO
ABCA9	30044	GO
ABCA9	5829	GO
ABCB1	7776	GO
ABCB1	1985	GO
ABCB1	2087	GO
ABCB1	5768	GO
ABCB1	21709	GO
ABCB1	33941	GO
ABCB1	120	GO
ABCB1	5817	GO
ABCB1	1977	GO
ABCB1	30044	GO
ABCB1	1981	GO
ABCB11	5664	GO
ABCB11	10311	GO
ABCB11	5768	GO
ABCB11	10312	GO
ABCB11	19632	GO
ABCB11	30044	GO
ABCB4	5597	GO
ABCB4	1985	GO
ABCB4	7776	GO
ABCB4	5829	GO
ABCB4	16347	GO
ABCB4	2087	GO
ABCB4	5768	GO
ABCB4	41438	GO
ABCB4	30047	GO
ABCB4	16744	GO
ABCB4	21709	GO
ABCB4	31163	GO
ABCB4	30044	GO
ABCB4	5817	GO
ABCB4	1977	GO
ABCB4	23868	GO
ABCB4	1981	GO
ABCB4	45854	GO
ABCB4	39615	GO
ABCB5	1985	GO
ABCB5	26433	GO
ABCB5	14277	GO
ABCB5	2087	GO
ABCB5	5768	GO
ABCB5	21709	GO
ABCB5	21239	GO
ABCB5	5817	GO
ABCB5	1977	GO
ABCB5	30044	GO
ABCB5	1981	GO
ABCB6	10469	GO
ABCB6	5735	GO
ABCB6	5768	GO
ABCB6	5836	GO
ABCB6	6317	GO
ABCB6	22321	GO
ABCB6	30044	GO
ABCB7	5768	GO
ABCB7	5836	GO
ABCB7	30044	GO
ABCB7	10469	GO
ABCB8	5768	GO
ABCB8	30044	GO
ABCC12	5768	GO
ABCC12	30044	GO
ABCC2	5920	GO
ABCC2	36960	GO
ABCC2	11522	GO
ABCC2	7776	GO
ABCC2	5768	GO
ABCC2	10313	GO
ABCC2	15438	GO
ABCC2	26832	GO
ABCC2	10322	GO
ABCC2	14706	GO
ABCC2	22359	GO
ABCC2	32216	GO
ABCC2	5817	GO
ABCC2	7867	GO
ABCC2	30044	GO
ABCC2	10303	GO
ABCC3	5768	GO
ABCC3	36960	GO
ABCC3	30044	GO
ABCC3	10311	GO
ABCC8	6560	GO
ABCC8	33185	GO
ABCC8	25154	GO
ABCC8	7776	GO
ABCC8	36960	GO
ABCC8	5768	GO
ABCC8	4169	GO
ABCC8	33674	GO
ABCC8	5771	GO
ABCC8	16811	GO
ABCC8	22030	GO
ABCC8	16464	GO
ABCC8	7733	GO
ABCC8	8474	GO
ABCC8	30044	GO
ABCC9	36960	GO
ABCC9	5768	GO
ABCC9	4169	GO
ABCC9	33674	GO
ABCC9	5771	GO
ABCC9	28686	GO
ABCC9	8538	GO
ABCC9	30044	GO
ABCC9	41789	GO
ABCD1	5603	GO
ABCD1	10500	GO
ABCD1	20005	GO
ABCD1	21572	GO
ABCD1	21574	GO
ABCD1	5768	GO
ABCD1	5963	GO
ABCD1	17483	GO
ABCD1	22383	GO
ABCD1	10491	GO
ABCD1	30044	GO
ABCD2	5603	GO
ABCD2	21574	GO
ABCD2	5768	GO
ABCD2	74	GO
ABCD2	15987	GO
ABCD2	10490	GO
ABCD2	30044	GO
ABCD3	7776	GO
ABCD3	5601	GO
ABCD3	5603	GO
ABCD3	21574	GO
ABCD3	5768	GO
ABCD3	5963	GO
ABCD3	10491	GO
ABCD3	9499	GO
ABCD3	30044	GO
ABCD4	5768	GO
ABCD4	5729	GO
ABCD4	30044	GO
ABCE1	5381	GO
ABCE1	21874	GO
ABCE1	3031	GO
ABCE1	7865	GO
ABCE1	30044	GO
ABCF1	36	GO
ABCF1	5900	GO
ABCF1	5391	GO
ABCF1	5392	GO
ABCF1	10650	GO
ABCF1	30044	GO
ABCF3	28686	GO
ABCG1	17287	GO
ABCG1	5768	GO
ABCG1	24072	GO
ABCG1	18313	GO
ABCG1	18314	GO
ABCG1	8465	GO
ABCG1	17939	GO
ABCG1	22421	GO
ABCG1	21787	GO
ABCG1	21023	GO
ABCG1	5829	GO
ABCG1	18375	GO
ABCG1	9293	GO
ABCG1	6734	GO
ABCG1	9165	GO
ABCG1	9296	GO
ABCG1	21453	GO
ABCG1	16338	GO
ABCG1	14416	GO
ABCG1	30044	GO
ABCG1	9308	GO
ABCG1	9309	GO
ABCG1	5346	GO
ABCG1	30050	GO
ABCG1	8169	GO
ABCG1	30058	GO
ABCG1	17645	GO
ABCG1	40053	GO
ABCG2	7776	GO
ABCG2	28674	GO
ABCG2	10469	GO
ABCG2	5768	GO
ABCG2	10475	GO
ABCG2	5836	GO
ABCG2	21709	GO
ABCG2	25102	GO
ABCG2	30222	GO
ABCG2	33424	GO
ABCG2	24910	GO
ABCG2	8470	GO
ABCG2	5817	GO
ABCG2	30044	GO
ABCG4	5768	GO
ABCG4	30044	GO
ABCG4	17287	GO
ABCG5	7776	GO
ABCG5	10499	GO
ABCG5	17287	GO
ABCG5	5768	GO
ABCG5	8648	GO
ABCG5	6476	GO
ABCG5	21453	GO
ABCG5	14414	GO
ABCG5	6479	GO
ABCG5	30044	GO
ABCG5	24312	GO
ABCG5	9372	GO
ABCG8	7776	GO
ABCG8	10499	GO
ABCG8	30051	GO
ABCG8	17287	GO
ABCG8	5768	GO
ABCG8	6476	GO
ABCG8	21453	GO
ABCG8	14414	GO
ABCG8	6479	GO
ABCG8	30044	GO
ABCG8	24312	GO
ABCG8	9372	GO
ABCG8	10495	GO
ABHD1	6679	GO
ABHD10	12850	GO
ABHD10	29740	GO
ABHD4	10608	GO
ABHD4	5612	GO
ABHD4	5597	GO
ABHD4	13334	GO
ABHD5	5600	GO
ABHD5	9312	GO
ABHD5	28157	GO
ABHD5	14277	GO
ABHD5	5479	GO
ABHD5	9319	GO
ABHD5	7143	GO
ABHD5	28147	GO
ABHD5	5620	GO
ABHD5	5597	GO
ABI1	31169	GO
ABI1	8423	GO
ABI1	19753	GO
ABI1	20508	GO
ABI1	5880	GO
ABI1	7865	GO
ABI1	34489	GO
ABI1	6805	GO
ABI1	1268	GO
ABI1	26392	GO
ABI1	6681	GO
ABI1	11676	GO
ABI1	4221	GO
ABI2	10948	GO
ABI2	45320	GO
ABI2	11053	GO
ABI2	7865	GO
ABI2	3156	GO
ABI2	5880	GO
ABI2	6681	GO
ABI2	11676	GO
ABI3	5880	GO
ABI3	14450	GO
ABI3	11676	GO
ABI3BP	9230	GO
ABI3BP	14319	GO
ABL1	16899	GO
ABL1	32262	GO
ABL1	32263	GO
ABL1	20999	GO
ABL1	3593	GO
ABL1	20495	GO
ABL1	45080	GO
ABL1	20508	GO
ABL1	25116	GO
ABL1	42529	GO
ABL1	42532	GO
ABL1	21584	GO
ABL1	10837	GO
ABL1	23647	GO
ABL1	18532	GO
ABL1	35445	GO
ABL1	28278	GO
ABL1	41082	GO
ABL1	25220	GO
ABL1	13971	GO
ABL1	5284	GO
ABL1	45738	GO
ABL1	5301	GO
ABL1	23733	GO
ABL1	10948	GO
ABL1	26824	GO
ABL1	26826	GO
ABL1	13516	GO
ABL1	5856	GO
ABL1	28385	GO
ABL1	5346	GO
ABL1	8931	GO
ABL1	17635	GO
ABL1	5863	GO
ABL1	38123	GO
ABL1	5868	GO
ABL1	19697	GO
ABL1	14600	GO
ABL1	14602	GO
ABL1	27917	GO
ABL1	28947	GO
ABL1	26390	GO
ABL1	44824	GO
ABL1	1818	GO
ABL1	5916	GO
ABL1	5917	GO
ABL1	5920	GO
ABL1	28452	GO
ABL1	1829	GO
ABL1	43815	GO
ABL1	40749	GO
ABL1	15156	GO
ABL1	26933	GO
ABL1	5433	GO
ABL1	5436	GO
ABL1	44873	GO
ABL1	33099	GO
ABL1	27982	GO
ABL1	5979	GO
ABL1	3419	GO
ABL1	14178	GO
ABL1	21859	GO
ABL1	5994	GO
ABL1	28014	GO
ABL1	39279	GO
ABL1	24432	GO
ABL1	24433	GO
ABL1	28537	GO
ABL1	28040	GO
ABL1	21901	GO
ABL1	21902	GO
ABL1	1429	GO
ABL1	2966	GO
ABL1	30106	GO
ABL1	14235	GO
ABL1	11676	GO
ABL1	41376	GO
ABL1	1441	GO
ABL1	44977	GO
ABL1	45490	GO
ABL1	45491	GO
ABL1	32191	GO
ABL1	3012	GO
ABL1	14278	GO
ABL1	6089	GO
ABL1	38346	GO
ABL1	7119	GO
ABL1	18385	GO
ABL1	33762	GO
ABL1	6118	GO
ABL1	20977	GO
ABL2	20999	GO
ABL2	3593	GO
ABL2	20495	GO
ABL2	33175	GO
ABL2	14235	GO
ABL2	11676	GO
ABL2	28452	GO
ABL2	44977	GO
ABL2	9398	GO
ABL2	5433	GO
ABL2	5436	GO
ABL2	9284	GO
ABL2	10948	GO
ABL2	3012	GO
ABL2	14278	GO
ABL2	4169	GO
ABL2	44873	GO
ABL2	10837	GO
ABL2	23647	GO
ABL2	8931	GO
ABL2	6118	GO
ABL2	4221	GO
ABLIM1	3156	GO
ABLIM1	14175	GO
ABLIM1	6494	GO
ABLIM1	6295	GO
ABLIM2	5343	GO
ABLIM2	3012	GO
ABLIM2	3156	GO
ABLIM3	5343	GO
ABLIM3	3012	GO
ABLIM3	41960	GO
ABLIM3	3156	GO
ABLIM3	24444	GO
ABLIM3	14175	GO
ABO	6679	GO
ABO	5454	GO
ABO	4975	GO
ABP1	7768	GO
ABP1	5112	GO
ABR	21314	GO
ABR	21859	GO
ABR	3012	GO
ABR	28199	GO
ABR	21896	GO
ABR	4169	GO
ABR	28040	GO
ABR	27914	GO
ABR	17068	GO
ABR	2188	GO
ABR	6317	GO
ABR	30398	GO
ABR	16464	GO
ABR	27953	GO
ABR	6173	GO
ABR	14452	GO
ABR	22071	GO
ABR	18941	GO
ABR	4222	GO
ABRA	28224	GO
ABRA	9696	GO
ABRA	5346	GO
ABRA	5343	GO
ABRA	5768	GO
ABRA	11022	GO
ABRA	24444	GO
ABRA	95	GO
ABRA	18943	GO
ABT1	18400	GO
ABT1	5346	GO
ABT1	5348	GO
ABT1	2921	GO
ABT1	13451	GO
ABT1	492	GO
ABT1	467	GO
ABT1	500	GO
ABT1	5343	GO
ABTB1	5393	GO
ABTB1	5391	GO
ABTB2	36268	GO
ACAA1	1088	GO
ACAA1	5600	GO
ACAA1	5603	GO
ACAA1	20005	GO
ACAA1	74	GO
ACAA1	17483	GO
ACAA1	6737	GO
ACAA1	5597	GO
ACAA2	1088	GO
ACAA2	5600	GO
ACAA2	40162	GO
ACAA2	33331	GO
ACAA2	39095	GO
ACAA2	5660	GO
ACAA2	5597	GO
ACACA	1088	GO
ACACA	5601	GO
ACACA	5600	GO
ACACA	1406	GO
ACACA	30047	GO
ACACA	33255	GO
ACACA	28392	GO
ACACA	15339	GO
ACACA	19248	GO
ACACA	5815	GO
ACACA	46009	GO
ACACA	5081	GO
ACACA	5597	GO
ACACA	22974	GO
ACACA	5724	GO
ACACB	1088	GO
ACACB	5601	GO
ACACB	9305	GO
ACACB	5600	GO
ACACB	28392	GO
ACACB	5815	GO
ACACB	30506	GO
ACACB	36042	GO
ACACB	15339	GO
ACACB	9327	GO
ACACB	15986	GO
ACACB	21874	GO
ACACB	24819	GO
ACACB	28146	GO
ACACB	15671	GO
ACACB	9049	GO
ACACB	46009	GO
ACACB	5081	GO
ACACB	5597	GO
ACACB	5724	GO
ACAD10	1088	GO
ACAD10	5603	GO
ACAD10	17482	GO
ACAD10	5112	GO
ACAD10	30047	GO
ACAD11	1088	GO
ACAD11	5603	GO
ACAD11	17482	GO
ACAD11	5112	GO
ACAD11	30047	GO
ACAD8	1088	GO
ACAD8	5346	GO
ACAD8	5343	GO
ACAD8	7556	GO
ACAD8	5545	GO
ACAD8	17482	GO
ACAD8	5112	GO
ACAD8	5597	GO
ACAD8	30047	GO
ACAD9	1088	GO
ACAD9	17482	GO
ACAD9	5112	GO
ACAD9	16924	GO
ACAD9	30047	GO
ACADM	29965	GO
ACADM	23694	GO
ACADM	8236	GO
ACADM	12721	GO
ACADM	21427	GO
ACADM	23863	GO
ACADM	7868	GO
ACADM	28861	GO
ACADM	28479	GO
ACADM	1088	GO
ACADM	28863	GO
ACADM	17482	GO
ACADM	6476	GO
ACADM	7895	GO
ACADM	5079	GO
ACADM	5597	GO
ACADM	30047	GO
ACADM	5600	GO
ACADM	7776	GO
ACADM	5603	GO
ACADM	28392	GO
ACADM	8174	GO
ACADM	5104	GO
ACADM	4978	GO
ACADM	5112	GO
ACADM	1401	GO
ACADM	6397	GO
ACADS	1088	GO
ACADS	5600	GO
ACADS	5603	GO
ACADS	30047	GO
ACADS	28392	GO
ACADS	17482	GO
ACADS	21427	GO
ACADS	24855	GO
ACADS	5112	GO
ACADS	5597	GO
ACADS	28479	GO
ACADSB	5600	GO
ACADSB	1088	GO
ACADSB	7556	GO
ACADSB	17482	GO
ACADSB	5112	GO
ACADSB	5597	GO
ACADSB	30047	GO
ACADVL	1088	GO
ACADVL	10560	GO
ACADVL	35490	GO
ACADVL	20387	GO
ACADVL	5597	GO
ACADVL	5600	GO
ACADVL	21574	GO
ACADVL	5603	GO
ACADVL	17482	GO
ACADVL	24242	GO
ACADVL	24819	GO
ACADVL	5112	GO
ACADVL	1176	GO
ACADVL	14910	GO
ACADVL	30047	GO
ACAN	1024	GO
ACAN	1025	GO
ACAN	1569	GO
ACAN	11714	GO
ACAN	5479	GO
ACAN	21191	GO
ACAN	3593	GO
ACAN	6314	GO
ACAN	13996	GO
ACAN	14319	GO
ACAN	14288	GO
ACAN	14320	GO
ACAN	6397	GO
ACAP1	9696	GO
ACAP1	17068	GO
ACAP1	5768	GO
ACAP3	17068	GO
ACAT1	1088	GO
ACAT1	34081	GO
ACAT1	7556	GO
ACAT1	30693	GO
ACAT1	6317	GO
ACAT1	8174	GO
ACAT1	25361	GO
ACAT1	25362	GO
ACAT1	21427	GO
ACAT1	21617	GO
ACAT1	1401	GO
ACAT1	9499	GO
ACAT2	1088	GO
ACAT2	5597	GO
ACBD3	5768	GO
ACBD3	5659	GO
ACBD3	5597	GO
ACCN3	28125	GO
ACCN3	21731	GO
ACCN3	5894	GO
ACCN3	5768	GO
ACCN3	5769	GO
ACCN3	5770	GO
ACCN3	8874	GO
ACCN3	5772	GO
ACCN3	19632	GO
ACCN3	28112	GO
ACCN3	28116	GO
ACCN3	28117	GO
ACCN3	18165	GO
ACCN3	28119	GO
ACCN3	7867	GO
ACCN3	28061	GO
ACCN3	36959	GO
ACCS	7531	GO
ACD	1024	GO
ACD	16193	GO
ACD	30466	GO
ACD	16194	GO
ACD	548	GO
ACD	15840	GO
ACD	29033	GO
ACD	14443	GO
ACD	5843	GO
ACD	1172	GO
ACD	19189	GO
ACD	5943	GO
ACD	16184	GO
ACD	10777	GO
ACD	32091	GO
ACD	32093	GO
ACE	41618	GO
ACE	40086	GO
ACE	1942	GO
ACE	38168	GO
ACE	12697	GO
ACE	27674	GO
ACE	33706	GO
ACE	21164	GO
ACE	21292	GO
ACE	6191	GO
ACE	1970	GO
ACE	30133	GO
ACE	1334	GO
ACE	30262	GO
ACE	21944	GO
ACE	9657	GO
ACE	31169	GO
ACE	1480	GO
ACE	6748	GO
ACE	30302	GO
ACE	44898	GO
ACE	1509	GO
ACE	2534	GO
ACE	5479	GO
ACE	1511	GO
ACE	27630	GO
ACE	1525	GO
ACE	16886	GO
ACE2	25249	GO
ACE2	9091	GO
ACE2	2500	GO
ACE2	1509	GO
ACE2	2534	GO
ACE2	20999	GO
ACE2	30536	GO
ACE2	12553	GO
ACE2	27913	GO
ACE2	1511	GO
ACE2	10412	GO
ACE2	21164	GO
ACE2	5479	GO
ACE2	1329	GO
ACE2	41619	GO
ACE2	7865	GO
ACE2	16759	GO
ACE2	12697	GO
ACE2	41789	GO
ACER3	33477	GO
ACER3	5638	GO
ACER3	25003	GO
ACER3	6804	GO
ACER3	14271	GO
ACF	11014	GO
ACHE	8067	GO
ACHE	6406	GO
ACHE	1030	GO
ACHE	1032	GO
ACHE	3593	GO
ACHE	15628	GO
ACHE	21007	GO
ACHE	1426	GO
ACHE	6803	GO
ACHE	21782	GO
ACHE	6298	GO
ACHE	6313	GO
ACHE	1581	GO
ACHE	30127	GO
ACHE	5552	GO
ACHE	28210	GO
ACHE	16205	GO
ACHE	23759	GO
ACHE	101	GO
ACHE	5622	GO
ACHE	27900	GO
ACIN1	5377	GO
ACIN1	14339	GO
ACIN1	26404	GO
ACIN1	37060	GO
ACIN1	21859	GO
ACIN1	14380	GO
ACIN1	5872	GO
ACIN1	6773	GO
ACIN1	37047	GO
ACIN1	24185	GO
ACIN1	3419	GO
ACIN1	1727	GO
ACLY	1088	GO
ACLY	7104	GO
ACLY	5601	GO
ACLY	5094	GO
ACLY	5099	GO
ACLY	15339	GO
ACLY	19248	GO
ACLY	5081	GO
ACLY	5082	GO
ACLY	5660	GO
ACLY	5597	GO
ACMSD	43009	GO
ACMSD	5539	GO
ACMSD	5540	GO
ACMSD	42981	GO
ACMSD	28368	GO
ACMSD	25302	GO
ACMSD	43001	GO
ACO1	1088	GO
ACO1	5092	GO
ACO1	5094	GO
ACO1	8236	GO
ACO1	5836	GO
ACO1	28047	GO
ACO1	5395	GO
ACO1	8471	GO
ACO1	8895	GO
ACO2	1088	GO
ACO2	5092	GO
ACO2	5094	GO
ACO2	5101	GO
ACO2	5087	GO
ACOT13	28392	GO
ACOT13	19248	GO
ACOT2	19248	GO
ACOT2	74	GO
ACOT2	5605	GO
ACOT2	1190	GO
ACOT7	20010	GO
ACOT7	20012	GO
ACOT7	38606	GO
ACOT7	19248	GO
ACOT7	10518	GO
ACOT7	28862	GO
ACOT8	5664	GO
ACOT8	20005	GO
ACOT8	5605	GO
ACOT8	11017	GO
ACOT8	17483	GO
ACOT8	5963	GO
ACOT8	22381	GO
ACOT8	19248	GO
ACOT8	7865	GO
ACOT8	23771	GO
ACOX1	1088	GO
ACOX1	5600	GO
ACOX1	5603	GO
ACOX1	20005	GO
ACOX1	30047	GO
ACOX1	11017	GO
ACOX1	74	GO
ACOX1	17482	GO
ACOX1	17483	GO
ACOX1	6191	GO
ACOX1	44917	GO
ACOX1	12854	GO
ACOX1	5112	GO
ACOX1	5658	GO
ACOX1	5597	GO
ACOX1	5087	GO
ACOX2	5600	GO
ACOX2	5664	GO
ACOX2	1088	GO
ACOX2	5603	GO
ACOX2	17482	GO
ACOX2	17483	GO
ACOX2	5112	GO
ACOX2	5597	GO
ACOX2	30047	GO
ACOX3	1088	GO
ACOX3	5600	GO
ACOX3	5603	GO
ACOX3	17482	GO
ACOX3	17483	GO
ACOX3	5112	GO
ACOX3	5597	GO
ACOX3	30047	GO
ACP1	19245	GO
ACP1	5438	GO
ACP2	1024	GO
ACP2	6468	GO
ACP2	8465	GO
ACP2	5971	GO
ACP2	10838	GO
ACP2	5438	GO
ACP5	1026	GO
ACP5	27914	GO
ACP5	16654	GO
ACP5	16658	GO
ACP5	8474	GO
ACP5	9499	GO
ACP5	23581	GO
ACP5	16683	GO
ACP5	23982	GO
ACP5	6079	GO
ACP5	16464	GO
ACP5	10838	GO
ACP5	17497	GO
ACP5	32606	GO
ACP5	14431	GO
ACP5	5726	GO
ACP5	30434	GO
ACP5	6755	GO
ACP5	16872	GO
ACP5	14451	GO
ACP5	18043	GO
ACP5	17532	GO
ACP6	46025	GO
ACP6	5612	GO
ACP6	1741	GO
ACP6	10838	GO
ACP6	5597	GO
ACPP	24576	GO
ACPP	7588	GO
ACPP	30253	GO
ACPP	10838	GO
ACPP	5146	GO
ACPP	28990	GO
ACPP	5727	GO
ACR	5479	GO
ACR	1582	GO
ACR	26832	GO
ACR	6104	GO
ACR	6234	GO
ACR	6235	GO
ACR	6236	GO
ACR	6237	GO
ACSF2	1088	GO
ACSF2	19248	GO
ACSF2	5597	GO
ACSF2	5600	GO
ACSL1	1088	GO
ACSL1	17152	GO
ACSL1	7104	GO
ACSL1	23235	GO
ACSL1	7776	GO
ACSL1	20005	GO
ACSL1	1190	GO
ACSL1	5600	GO
ACSL1	18146	GO
ACSL1	33763	GO
ACSL1	5609	GO
ACSL1	6476	GO
ACSL1	22383	GO
ACSL1	19248	GO
ACSL1	8465	GO
ACSL1	21042	GO
ACSL1	10489	GO
ACSL1	9499	GO
ACSL1	5597	GO
ACSL3	1088	GO
ACSL3	5600	GO
ACSL3	5601	GO
ACSL3	23235	GO
ACSL3	21796	GO
ACSL3	1190	GO
ACSL3	45961	GO
ACSL3	6476	GO
ACSL3	6317	GO
ACSL3	18318	GO
ACSL3	19248	GO
ACSL3	9499	GO
ACSL3	5597	GO
ACSL3	28190	GO
ACSL4	1088	GO
ACSL4	16289	GO
ACSL4	7104	GO
ACSL4	5600	GO
ACSL4	31076	GO
ACSL4	1190	GO
ACSL4	5609	GO
ACSL4	6476	GO
ACSL4	30222	GO
ACSL4	32558	GO
ACSL4	19248	GO
ACSL4	14422	GO
ACSL4	10489	GO
ACSL4	5597	GO
ACSL4	14303	GO
ACSL5	5600	GO
ACSL5	1088	GO
ACSL5	1190	GO
ACSL5	19248	GO
ACSL5	5597	GO
ACSL5	45950	GO
ACSL6	1088	GO
ACSL6	5600	GO
ACSL6	5605	GO
ACSL6	1190	GO
ACSL6	19248	GO
ACSL6	5597	GO
ACSM1	1088	GO
ACSM1	10560	GO
ACSM1	5762	GO
ACSM1	5600	GO
ACSM1	5601	GO
ACSM1	21453	GO
ACSM1	12381	GO
ACSM1	12854	GO
ACSM1	5597	GO
ACSM1	13054	GO
ACSM3	1088	GO
ACSM3	5601	GO
ACSM3	5600	GO
ACSM3	21453	GO
ACSM3	6748	GO
ACSM3	5597	GO
ACSS1	1088	GO
ACSS1	12995	GO
ACSS1	12872	GO
ACSS1	5066	GO
ACSS1	12884	GO
ACSS1	5082	GO
ACSS2	1088	GO
ACSS2	7104	GO
ACSS2	12995	GO
ACSS2	12872	GO
ACSS2	5066	GO
ACSS2	12884	GO
ACSS2	5082	GO
ACTA1	1089	GO
ACTA1	5894	GO
ACTA1	14185	GO
ACTA1	8427	GO
ACTA1	2990	GO
ACTA1	26832	GO
ACTA1	35441	GO
ACTA1	14358	GO
ACTA1	8662	GO
ACTA1	9048	GO
ACTA1	22234	GO
ACTA1	27005	GO
ACTA2	33996	GO
ACTA2	2990	GO
ACTA2	9582	GO
ACTA2	35441	GO
ACTA2	3031	GO
ACTA2	9048	GO
ACTA2	6748	GO
ACTB	24327	GO
ACTB	18268	GO
ACTB	21836	GO
ACTB	5880	GO
ACTB	13687	GO
ACTB	26392	GO
ACTB	26395	GO
ACTB	20508	GO
ACTB	32413	GO
ACTB	1407	GO
ACTBL2	6679	GO
ACTC1	6720	GO
ACTC1	7073	GO
ACTC1	7776	GO
ACTC1	17219	GO
ACTC1	15078	GO
ACTC1	29961	GO
ACTC1	14185	GO
ACTC1	29966	GO
ACTC1	32144	GO
ACTC1	35441	GO
ACTC1	30133	GO
ACTC1	14358	GO
ACTC1	30134	GO
ACTC1	9048	GO
ACTC1	3419	GO
ACTC1	23999	GO
ACTG1	18268	GO
ACTG1	5880	GO
ACTG1	23761	GO
ACTG1	26392	GO
ACTG1	26395	GO
ACTG1	20508	GO
ACTG1	32413	GO
ACTG1	1407	GO
ACTG2	9048	GO
ACTG2	35441	GO
